feature,importance
ethylene_glycol,0.8239337142206897
dmso,0.47602786709025413
ectoin,0.43188822069384514
fbs,0.25262585949658634
hsa,0.191320203005106
glycerol,0.17296774203688348
trehalose,0.143120679193663
peg_3350,0.08242928718734988
proline,0.0772187836373579
human_serum,0.07288490878340004
hes,0.06037375940845946
hyaluronic_acid,0.054836535843646006
pvp,0.04673197824016251
glucose,0.04347962533071703
sucrose,0.03797814164220825
propylene_glycol,0.0284570638578574
methylcellulose,0.011729197462647667
creatine,0.0031671350510684704
betaine,0.002817965254412025
raffinose,0.0025806820672651387
dextran,0.0018253090494271262
