recommendation_type,bucket_rank,origin,source_file,source_rank,anchor_stage,anchor_experiments,predicted_viability,uncertainty,blindspot_score,novelty_score,dmso_percent,n_ingredients,betaine_M,creatine_M,dextran_pct,dmso_M,ectoin_M,ethylene_glycol_M,fbs_pct,glucose_M,glycerol_M,hes_pct,hsa_pct,human_serum_pct,hyaluronic_acid_pct,methylcellulose_pct,peg_3350_pct,proline_M,propylene_glycol_M,pvp_pct,raffinose_M,sucrose_M,trehalose_M,formulation,rationale
exploit,1,bo_candidate,bo_candidates_dmso_free_iteration_4_prior_mean.csv,2.0,,,77.69132469938168,14.509017565046966,0.0,0.0,0.078116479073039,6,0.0,0.0,0.0001204550009973,0.0109980963753158,0.3099364587810397,1.5644177311778846,0.0,0.0,0.0,0.0,0.0,0.0002113724236238,0.0,0.0005368839576978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0mM dmso + 309.9mM ectoin + 1.56M ethylene_glycol,Top BO exploitation candidate with strong predicted viability.
exploit,2,bo_candidate,bo_candidates_general_iteration_4_prior_mean.csv,2.0,,,75.8864391406228,15.25345441825402,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.3105441975956661,1.5708487796007675,0.0,0.0,0.0,0.0,0.0872424009719964,0.0,2.211214624816136e-06,0.0,0.0,0.0,0.0,0.0,0.1428233233260765,0.0,0.0,310.5mM ectoin + 1.57M ethylene_glycol + 0.1% hsa + 142.8mM raffinose,Top BO exploitation candidate with strong predicted viability.
exploit,3,bo_candidate,bo_candidates_general_iteration_4_prior_mean.csv,4.0,,,72.60817754797671,16.93497219707795,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.3047,1.55,6.521234526971213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.7mM ectoin + 1.55M ethylene_glycol + 6.5% fbs,Top BO exploitation candidate with strong predicted viability.
exploit,4,bo_candidate,bo_candidates_general_iteration_4_prior_mean.csv,7.0,,,71.67036215834538,17.3447279395903,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.3047,1.55,5.103575758113912,0.0,0.0,0.0,0.596081283179771,0.0,0.0,0.0121589395659387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.7mM ectoin + 1.55M ethylene_glycol + 5.1% fbs + 0.6% hsa,Top BO exploitation candidate with strong predicted viability.
exploit,5,bo_candidate,bo_candidates_general_iteration_4_prior_mean.csv,12.0,,,68.07458494690579,16.80941804921293,0.0,0.0,5.0,1,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.0mM dmso,Top BO exploitation candidate with strong predicted viability.
explore,1,generated_probe,,,3.0,EXP3107;EXP3108,37.46360375805831,20.541655564701273,36.971049034760085,0.17474747474747473,3.75024,2,0.0,0.0,0.0,0.528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,528.0mM dmso + 100.0mM sucrose,Midpoint calibration probe from underpredicted dmso + sucrose anchors.
explore,2,generated_probe,,,3.0,EXP3102,40.18975284451617,23.498959021350718,13.422252687601478,0.24417989417989416,0.0,3,0.0,0.0,0.0,0.0,0.0,0.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.83,0.0,0.0,0.45539999999999997,0.0,362.5mM ethylene_glycol + 1.83M propylene_glycol + 455.4mM sucrose,Local calibration probe around underpredicted propylene_glycol + sucrose chemistry.
explore,3,explore_fallback,bo_candidates_general_iteration_4_prior_mean.csv,5.0,,,72.59581566467057,17.018836314477724,7.013871866688277,0.4893363911221054,0.2311744907104951,6,0.0485655539375106,0.0,0.0,0.0325472852657807,0.3056214283962723,1.652866293651486,0.0,0.0,0.0,0.0,0.1594067066617572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0246194518047123,0.0,48.6mM betaine + 32.5mM dmso + 305.6mM ectoin + 1.65M ethylene_glycol + 0.2% hsa + 24.6mM sucrose,High-uncertainty BO fallback in a blind-spot chemistry family.
explore,4,explore_fallback,bo_candidates_dmso_free_iteration_4_prior_mean.csv,19.0,,,32.54129393813334,19.541247587403177,10.216731287857009,0.1414141414141414,0.4971909090909091,2,0.0,0.0,0.0,0.07,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0mM dmso + 10.0% fbs,High-uncertainty BO fallback in a blind-spot chemistry family.
explore,5,explore_fallback,bo_candidates_dmso_free_iteration_4_prior_mean.csv,17.0,,,34.21425481221205,19.273739551984143,11.845509337836383,0.09090909090909091,0.4971909090909091,1,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0mM dmso,High-uncertainty BO fallback in a blind-spot chemistry family.
