rank,acquisition_value,predicted_viability,uncertainty,dmso_percent,n_ingredients,dextran_pct,ethylene_glycol_M,fbs_pct,glycerol_M,hes_pct,hsa_pct,human_serum_pct,peg_3350_pct,propylene_glycol_M,pvp_pct,trehalose_M,methylcellulose_pct,creatine_M,glucose_M,hyaluronic_acid_pct,sucrose_M,raffinose_M
1,45.94038929341598,33.12508726040637,25.63060406601923,0.0,10,1.0219884360896825,1.5339432740193115,39.70622649186416,1.3923944774915065,3.3022747423706633,1.282991735308474,39.46560644575558,3.339951273386501,1.5897522701355657,5.9651196883561175,,,,,,,
2,45.94001412022796,33.12471185671841,25.63060452701908,0.0,10,1.7971708474362051,1.7665915949169897,56.98418486087931,1.2776266964531382,5.441409969565315,6.309510506671092,36.86340407326487,6.066225571720116,1.3876739688629722,1.5209838782278617,,,,,,,
3,45.93992833906724,33.124626070448564,25.63060453723734,0.0,10,2.0972190168011084,1.4330064048201168,57.866152051105814,,8.351765561139105,8.83547591398083,34.86179703513016,1.8704965443371007,0.41830207403577113,5.496977706236555,0.5230783676335599,,,,,,
4,45.939691291935574,33.12438901742571,25.63060454901973,0.0,10,4.146251302360174,1.6180127267086903,43.81273883291307,1.6750329015689338,4.332970337063652,6.716890458680034,41.86094076225981,9.331305555261103,,1.2770023528179304,,1.085753113245282,,,,,
5,45.93969059912428,33.12438832470525,25.63060454883807,0.0,10,2.2807914119970776,1.7749848483447812,46.00174370891036,2.278801759602964,7.369887388989395,6.405992532298985,37.3095602371859,5.565627843063444,1.3736944226657237,7.40007481893735,,,,,,,
6,45.93968000673751,33.12437773222083,25.63060454903336,0.0,10,3.9807195681344814,2.3348625497888187,49.525397193626,1.648059224783818,2.3704189718173563,3.696387454627375,26.497072674665823,3.7860269913838875,1.3703775702838437,8.720472419420368,,,,,,,
7,45.93967317264068,33.12437089812779,25.630604549025783,0.0,10,1.137354248875269,1.9172325368832923,51.97332685770157,,,,7.621658181614718,2.6480828911833796,0.9719209452758876,,,,4.018574344843961,5.145411644517566,1.9415611747588037,0.9574396801038502,
8,45.939672891914725,33.12437061739958,25.63060454903029,0.0,10,2.844453023563766,1.4532652383780722,28.432876814356387,0.8874361451944126,5.291591863443396,,32.14301085442719,8.804093987585734,1.022751725294522,8.749185355198719,,0.8057001422556824,,,,,
9,45.93965921862895,33.12435694410902,25.63060454903985,0.0,10,4.690200209622084,1.73449989100194,7.2737668813773695,1.9096630516982454,5.191691200031602,4.695006516952581,41.78978687872194,7.009019076061093,1.6205516452073507,1.866728495603721,,,,,,,
10,45.93965902241246,33.12435674789282,25.63060454903928,0.0,10,3.8607479158744393,,69.30765940561093,2.2603566678728906,,5.573516874756858,9.954808221930932,4.916521823424893,,1.414414086029775,,,,2.111737434424235,1.7086058826951478,0.9563013619283725,
11,45.9396580022291,33.12435572770935,25.630604549039504,0.0,10,1.9677043828547625,1.6697637293350411,60.16678163162348,1.4522513517699243,9.381462042587552,6.175636350899747,66.26235255783688,9.692108895499077,1.403761460221928,5.178974015062526,,,,,,,
12,45.93965631712677,33.12435404260674,25.630604549040054,0.0,10,6.621603727239211,1.7006083295245493,30.87702685785215,,2.8436765078894988,2.492033577125779,17.543485692476366,6.606511534998406,1.5457641436443166,7.128218902782782,,0.979273676277658,,,,,
13,45.93965545051086,33.12435317599083,25.630604549040076,0.0,10,6.723528800018902,1.835234024299618,69.57052959733744,1.8898791437250027,7.836269392935279,3.185203384457055,35.792583088366726,9.686993247878135,,7.395076810103536,,1.515320230254046,,,,,
14,45.93965538537166,33.12435311085162,25.630604549040076,0.0,10,9.294785551139858,1.3117822981670662,23.047079071836475,1.0745578065505843,,3.6221178317405753,,,1.289654830282831,1.89489060177011,,1.3436112526716675,5.881787310285955,,,0.9571327437592949,
15,45.93965519959609,33.12435292507605,25.630604549040076,0.0,10,7.44354403590121,1.6244955654574942,71.29320977840601,2.087015781563266,8.204157339971927,3.0033605417877753,47.61340974753571,2.0244073313897966,1.705680274131922,6.269646496891907,,,,,,,
16,45.939655195555446,33.12435292103541,25.630604549040076,0.0,10,5.206360629973075,,7.458411991705063,,,3.8684820617537357,30.61907089774106,,2.4939716105980017,1.704284227470282,,1.2584720078395464,,4.2961417244693125,0.9132629480563685,0.8660801287060355,
17,45.939655189604416,33.12435291508438,25.630604549040076,0.0,10,8.982384873919832,1.6767205594408063,77.83929889797372,1.0509277560153436,5.68353371170169,9.918713826742685,42.319939705531304,2.8392969239570007,1.573223872031748,0.8566057798918267,,,,,,,
18,45.939655186157395,33.12435291163736,25.630604549040076,0.0,10,5.7200324210149365,,43.59207360162518,1.2081319833391793,,2.780810615067644,20.796377281104217,2.5369851791491174,,3.5303470031870465,,,,,1.5024742205463806,0.9837537054732419,0.8156250181059127
19,45.93965517545554,33.124352900935506,25.630604549040076,0.0,10,6.5547943675127565,,79.31348306180766,2.152796982476481,,6.476253855914043,28.049462091790463,1.2766028854088027,,,,1.0231530675823466,7.771450603149374,3.2563004620885883,,0.9710452768464773,
20,45.93965517010494,33.124352895584906,25.630604549040076,0.0,10,9.305838305341691,1.588180034875237,10.095199282780825,,9.442029277067677,4.001147130521333,26.551747427677057,9.74552889252356,2.04043743635067,3.1322911381891263,,,5.220736492042372,,,,
