batch_size,selection_order,recommendation_id,recommendation_type,origin,bucket_rank,predicted_viability,uncertainty,batch_utility,formulation
6,1,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
6,2,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
6,3,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
6,4,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
6,5,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
6,6,16,explore,blindspot_probe,8,43.387205062861554,19.40830013271107,0.656790251578536,528.0mM dmso + 100.0mM sucrose
7,1,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
7,2,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
7,3,6,exploit,bo_candidate,6,70.98461412206694,17.639193044717132,0.7890835001952091,243.6mM ectoin + 1.71M ethylene_glycol
7,4,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
7,5,12,explore,local_rank_probe,4,72.24817136240475,17.564213297413453,0.5636976170601694,21.0mM dmso + 291.1mM ectoin + 1.96M ethylene_glycol + 5.9% fbs
7,6,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
7,7,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
8,1,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
8,2,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
8,3,6,exploit,bo_candidate,6,70.98461412206694,17.639193044717132,0.7890835001952091,243.6mM ectoin + 1.71M ethylene_glycol
8,4,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
8,5,12,explore,local_rank_probe,4,72.24817136240475,17.564213297413453,0.5636976170601694,21.0mM dmso + 291.1mM ectoin + 1.96M ethylene_glycol + 5.9% fbs
8,6,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
8,7,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
8,8,16,explore,blindspot_probe,8,43.387205062861554,19.40830013271107,0.656790251578536,528.0mM dmso + 100.0mM sucrose
9,1,1,exploit,bo_candidate,1,74.73561353108101,16.50871612996866,0.880190425540152,11.0mM dmso + 289.7mM ectoin + 1.81M ethylene_glycol + 5.7% fbs
9,2,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
9,3,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
9,4,6,exploit,bo_candidate,6,70.98461412206694,17.639193044717132,0.7890835001952091,243.6mM ectoin + 1.71M ethylene_glycol
9,5,9,explore,local_rank_probe,1,74.20279106197424,15.83003595845817,0.5148198412820458,11.0mM dmso + 289.7mM ectoin + 1.63M ethylene_glycol + 5.1% fbs
9,6,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
9,7,12,explore,local_rank_probe,4,72.24817136240475,17.564213297413453,0.5636976170601694,21.0mM dmso + 291.1mM ectoin + 1.96M ethylene_glycol + 5.9% fbs
9,8,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
9,9,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
10,1,1,exploit,bo_candidate,1,74.73561353108101,16.50871612996866,0.880190425540152,11.0mM dmso + 289.7mM ectoin + 1.81M ethylene_glycol + 5.7% fbs
10,2,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
10,3,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
10,4,6,exploit,bo_candidate,6,70.98461412206694,17.639193044717132,0.7890835001952091,243.6mM ectoin + 1.71M ethylene_glycol
10,5,9,explore,local_rank_probe,1,74.20279106197424,15.83003595845817,0.5148198412820458,11.0mM dmso + 289.7mM ectoin + 1.63M ethylene_glycol + 5.1% fbs
10,6,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
10,7,12,explore,local_rank_probe,4,72.24817136240475,17.564213297413453,0.5636976170601694,21.0mM dmso + 291.1mM ectoin + 1.96M ethylene_glycol + 5.9% fbs
10,8,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
10,9,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
10,10,16,explore,blindspot_probe,8,43.387205062861554,19.40830013271107,0.656790251578536,528.0mM dmso + 100.0mM sucrose
11,1,1,exploit,bo_candidate,1,74.73561353108101,16.50871612996866,0.880190425540152,11.0mM dmso + 289.7mM ectoin + 1.81M ethylene_glycol + 5.7% fbs
11,2,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
11,3,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
11,4,6,exploit,bo_candidate,6,70.98461412206694,17.639193044717132,0.7890835001952091,243.6mM ectoin + 1.71M ethylene_glycol
11,5,9,explore,local_rank_probe,1,74.20279106197424,15.83003595845817,0.5148198412820458,11.0mM dmso + 289.7mM ectoin + 1.63M ethylene_glycol + 5.1% fbs
11,6,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
11,7,12,explore,local_rank_probe,4,72.24817136240475,17.564213297413453,0.5636976170601694,21.0mM dmso + 291.1mM ectoin + 1.96M ethylene_glycol + 5.9% fbs
11,8,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
11,9,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
11,10,16,explore,blindspot_probe,8,43.387205062861554,19.40830013271107,0.656790251578536,528.0mM dmso + 100.0mM sucrose
11,11,17,explore,blindspot_probe,9,42.20776961263094,19.21515299007733,0.6424882266823057,528.0mM dmso + 75.0mM sucrose
12,1,1,exploit,bo_candidate,1,74.73561353108101,16.50871612996866,0.880190425540152,11.0mM dmso + 289.7mM ectoin + 1.81M ethylene_glycol + 5.7% fbs
12,2,2,exploit,bo_candidate,2,74.15948377768959,16.463586114663837,0.871856656655858,21.0mM dmso + 291.1mM ectoin + 1.79M ethylene_glycol + 5.4% fbs
12,3,3,exploit,bo_candidate,3,71.91254732234549,15.964878155497091,0.8477030979087521,704.0mM dmso
12,4,5,exploit,bo_candidate,5,71.42890475197015,15.987299848878498,0.839146955880209,704.0mM dmso + 2.0% fbs
12,5,6,exploit,bo_candidate,6,70.98461412206694,17.639193044717132,0.7890835001952091,243.6mM ectoin + 1.71M ethylene_glycol
12,6,9,explore,local_rank_probe,1,74.20279106197424,15.83003595845817,0.5148198412820458,11.0mM dmso + 289.7mM ectoin + 1.63M ethylene_glycol + 5.1% fbs
12,7,10,explore,local_rank_probe,2,72.11729881172964,17.757716051123946,0.5699735063174994,11.0mM dmso + 289.7mM ectoin + 2.00M ethylene_glycol + 6.3% fbs
12,8,12,explore,local_rank_probe,4,72.24817136240475,17.564213297413453,0.5636976170601694,21.0mM dmso + 291.1mM ectoin + 1.96M ethylene_glycol + 5.9% fbs
12,9,13,explore,local_rank_probe,5,73.73641616603523,15.743014611551564,0.5070478030597387,7.9mM dmso + 317.1mM ectoin + 1.73M ethylene_glycol + 2.3% fbs
12,10,14,explore,local_rank_probe,6,69.407705400586,18.275121996087584,0.564517655568249,7.9mM dmso + 317.1mM ectoin + 2.11M ethylene_glycol + 2.8% fbs
12,11,15,explore,blindspot_probe,7,43.49632953163335,23.47363517555309,0.7134801525752484,1.84M propylene_glycol + 299.3mM sucrose
12,12,16,explore,blindspot_probe,8,43.387205062861554,19.40830013271107,0.656790251578536,528.0mM dmso + 100.0mM sucrose
