feature,importance
ethylene_glycol,0.40564557724917494
ectoin,0.34891531038917856
dmso,0.26374112006804984
hsa,0.22280089114450385
glycerol,0.15100716784904267
pvp,0.139072150026468
fbs,0.12125220395327263
proline,0.11218480280085341
sucrose,0.10076181471985124
human_serum,0.09453300433273437
peg_3350,0.07054030957494362
trehalose,0.05872266646148916
dextran,0.024683369027491908
hes,0.007699686424863517
creatine,0.004337738126320323
betaine,0.003396690962087723
propylene_glycol,0.0022416262887390292
raffinose,0.0020141780170277457
hyaluronic_acid,0.001075478124052065
methylcellulose,-0.00010339576046058951
glucose,-0.0004541059215071863
